Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Вдовенко,Ліза,Андріївна,Жінка,1976-04-28,Стропальник,місто Інкерман,"набережна Лінія 29-та, буд. 659 кв. 813, Сарни, 30152",+380 (83) 449-92-99,vperepelytsia@example.com
Самойленко,Оксенія,Дмитрівна,Жінка,2002-11-16,Музичний редактор,селище Іловайськ,"парк Кавказька, буд. 81 кв. 2, Маріуполь, 74866",014 219 05 20,arebryk@example.net
Башполченко,Наталія,Миколаївна,Жінка,2006-09-09,Історик,хутір Рудки,"провулок Свободи, буд. 00, Березне, 59680",+380 30 026-07-84,usirchenko@example.com
Стець,Марта,Володимирівна,Жінка,2008-06-07,Співак,місто Святогірськ,"узвіз Партизанська, буд. 4 кв. 15, Білопілля, 82362",129 76 23,nprokopovych@example.com
Дейсун,Франц,Дмитрович,Чоловік,1996-02-10,Гицель,хутір Вовчанськ,"набережна Студентський, буд. 15 кв. 7, Сколе, 75660",+380 26 137 72 80,ostap97@example.org
Байда,Людмила,Федорівна,Жінка,1939-05-18,Доцент,село Буча,"узвіз Довга, буд. 94, Тисмениця, 19490",007 552 18 75,leonidvdovenko@example.net
Щербань,Марія,Дмитрівна,Жінка,1967-10-04,Кінорежисер,селище Чигирин,"узвіз Рачкова, буд. 15 кв. 67, Турка, 64740",+380 64 998-53-14,okhrimenkodanna@example.org
Шеремета,Остап,Юрійович,Чоловік,1973-12-28,Ріелтор,хутір Подільськ,"набережна Жаботинського, буд. 2 кв. 35, Вільнянськ, 63190",+380 41 210-30-97,ada12@example.com
Їжакевич,Єлисавета,Сергіївна,Жінка,2005-12-21,Психолог,місто Часів Яр,"площа Пресича Олександра, буд. 69 кв. 5, Хоростків, 05503",196 04 68,orkhyp78@example.org
Заєць,Аніта,Петрівна,Жінка,1947-11-14,Дерун,село Південне,"проспект Північна, буд. 43 кв. 0, Шумськ, 11777",+380 (81) 862-36-07,vhupalo@example.com
Данчук,Опанас,Юрійович,Чоловік,1984-04-13,Гірник,село Дергачі,"сквер Травневий, буд. 21 кв. 080, Сніжне, 94748",044 645 42 23,ievaiaremenko@example.net
Влох,Галина,Богданівна,Жінка,1954-09-26,Науковець,село Помічна,"проспект Привокзальна, буд. 821, Львів, 12185",+380 09 126 81 29,artiukhvioletta@example.com
Дейнека,Галина,Георгіївна,Жінка,1955-01-11,Льотчик,місто Селидове,"шосе Лірний, буд. 76, Українка, 27570",+380 (08) 142-83-47,rverkhovynets@example.com
Дуплій,Орхип,Володимирович,Чоловік,2000-03-04,Стропальник,селище Білозерське,"шосе В'ячеслава Липинського, буд. 2 кв. 68, Лохвиця, 71219",367 38 21,abrahamovskyiavhustyn@example.net
Рябошапка,Юстина,Ігорівна,Жінка,1953-06-02,Нотаріус,село Шептицький,"парк Джутовий, буд. 9 кв. 99, Рахів, 04622",056 075-68-66,hennadiifartushniak@example.com
Вовк,Амвросій,Тимофійович,Чоловік,1961-10-21,Хореограф,місто Мостиська,"провулок Шоста, буд. 346 кв. 4, Тульчин, 12616",485 61 32,zinchenkofrants@example.com
Джус,Ганна,Тимофіївна,Жінка,1957-03-17,Піаніст,хутір Новоукраїнка,"проспект Монастирський, буд. 461 кв. 35, Южне, 47069",+380 (03) 435-11-38,panas82@example.org
Рева,Василина,Петрівна,Жінка,2007-05-13,Правник,місто Чернівці,"парк Дачна, буд. 877 кв. 60, Рубіжне, 71896",976-95-69,stusprokhir@example.net
Шутько,Дарина,Ігорівна,Жінка,1941-02-26,Круп'є,місто Шептицький,"провулок Садова, буд. 4 кв. 6, Іловайськ, 03491",+380 55 430 47 92,iereskooryna@example.net
Гаврюшенко,Охрім,Васильович,Чоловік,1949-01-22,Випробувач,село Деражня,"парк Розумовський 1-й, буд. 02 кв. 680, Бережани, 75289",502 60 79,opanasiashchuk@example.org
Сіробаба,Лесь,Олександрович,Чоловік,1940-07-01,Електрослюсар,село Боково-Хрустальне,"парк Миколи Куліша, буд. 62, Арциз, 96931",+380 88 827-72-47,mhaidai@example.org
Аврамчук,Мілена,Олександрівна,Жінка,2002-01-30,Пекар,село Рудки,"проспект Литовська, буд. 23 кв. 103, Соледар, 28167",053 926-51-58,rostyslav75@example.net
Товстуха,Антон,Сергійович,Чоловік,1997-01-20,Музикознавець,село Надвірна,"парк Волова, буд. 2, Хмельницький, 40799",+380 85 990-75-19,erika43@example.com
Тихий,Лукʼян,Романович,Чоловік,1952-09-02,Фрілансер,хутір Барвінкове,"парк Джевецького, буд. 028, Гребінка, 73426",079 848 72 49,iaroslav03@example.com
Гавришкевич,Мирон,Сергійович,Чоловік,2005-02-06,Ді-джей,село Косів,"провулок Латвійський узвіз, буд. 110 кв. 889, Гірське, 61000",+380 25 215 38 02,gsomko@example.com
Дашкевич,Давид,Георгійович,Чоловік,1960-03-24,Електрослюсар,місто Подільськ,"провулок Саксаганського, буд. 9 кв. 78, Буськ, 37789",164 09 06,kolisnychenkoanzhela@example.org
Бабиченко,Федір,Олегович,Чоловік,2004-03-07,Будник,хутір Хрестівка,"вулиця Ольгіївська, буд. 50, Багачеве, 24377",+380 79 660-52-85,leonidfranchuk@example.net
Данчук,Олег,Васильович,Чоловік,1970-07-06,Паралегал,селище Пологи,"площа Орликова, буд. 9 кв. 1, Марганець, 26339",808 27 80,iosypokhrymovych@example.org
Дутка,Святослав,Дмитрович,Чоловік,2008-05-06,Електромонтер,місто Острог,"проспект Ігоря Бедзая, буд. 1, Винники, 54103",+380 74 675-79-76,nehodapavlo@example.org
Деркач,Гліб,Володимирович,Чоловік,1941-09-26,Реставратор,селище Косів,"проспект Павла Вірського, буд. 16 кв. 4, Броди, 54169",028 334 13 96,zabarnaiakiv@example.net
Дейнека,Омелян,Олександрович,Чоловік,1990-06-25,Диригент,місто Шаргород,"шосе Євгена Крамаренка, буд. 7, Южноукраїнськ, 74292",+380 (95) 966-05-98,levko42@example.net
Іващенко,Федір,Федорович,Чоловік,1971-07-14,Астроном,місто Чигирин,"набережна 1-ша Лінія Марії Демченко, буд. 7, Почаїв, 69591",+380 41 351-27-32,nataliiamasliak@example.org
Арсенич,Михайлина,Олександрівна,Жінка,2008-08-28,Мінералог,селище Красногорівка,"шосе Обсерваторний, буд. 0 кв. 352, Рахів, 69404",+380 (07) 731-71-44,stetspanas@example.org
Дрозд,Богуслав,Іванович,Чоловік,1961-10-02,Петрограф,місто Міусинськ,"парк Керченський 3-й, буд. 25 кв. 675, Каховка, 85579",056 611-10-39,zakhar72@example.com
Черненко,Соломія,Олександрівна,Жінка,1985-09-15,Мінералог,місто Сніжне,"парк Бісквітний, буд. 674, Галич, 08761",+380 (11) 975-60-49,pylypkozachenko@example.net
Демʼянчук,Ганна,Олександрівна,Жінка,1984-01-23,Хореограф,місто Харків,"сквер Люстдорфська дорога, буд. 9 кв. 906, Судак, 53125",+380 (99) 883-52-06,ievhen66@example.org
Литвин,Надія,Юріївна,Жінка,1966-12-11,Петрограф,місто Привілля,"парк Олександра Мурашка, буд. 325 кв. 5, Збараж, 09881",024 412 24 77,cvertyporokh@example.org
Іванченко,Гордій,Романович,Чоловік,1951-04-11,Гірничий інженер,село Курахове,"парк Валерія Лобановського, буд. 3, Пустомити, 94697",013 015 17 26,sromanenko@example.org
Ященко,Герман,Максимович,Чоловік,1992-02-27,Диригент,місто Винники,"шосе Академіка Липського, буд. 49 кв. 96, Голубівка, 71414",+380 (14) 283-53-06,trokhymchumak@example.org
Андрієвич,Прохір,Володимирович,Чоловік,1942-09-24,Ґрунтознавець,селище Перевальськ,"сквер Ватманський, буд. 5, Таврійськ, 33568",620 71 21,demianbandera@example.org
Ванченко,Петро,Богданович,Чоловік,1954-11-23,Льотчик,місто Жданівка,"парк Бардаха, буд. 36 кв. 654, Київ, 44683",077-51-81,iaroslavdarahan@example.com
Даньків,Борис,Тимофійович,Чоловік,1962-08-09,Біолог,хутір Кам'янка-Дніпровська,"площа Каберне, буд. 86, Добромиль, 27508",+380 (42) 964-85-89,havrylo13@example.com
Зарудний,Стефан,Павлович,Чоловік,1944-01-25,Ювелір,село Новодружеськ,"площа 6-та Лінія Марії Демченко, буд. 371, Горлівка, 50508",+380 38 227 30 18,liza54@example.org
Корсун,Валерій,Андрійович,Чоловік,1989-10-22,М'ясник,селище Вовчанськ,"вулиця Лютеранський, буд. 2, Українськ, 69315",+380 72 807-70-95,hmalyshko@example.net
Цибуленко,Маруся,Георгіївна,Жінка,1994-02-19,Інженер,місто Виноградів,"провулок Амбулаторний 1-й, буд. 13, Нікополь, 79207",792-11-85,veniiamyn13@example.net
Павленко,Мирослав,Іванович,Чоловік,1945-02-17,Клавішник,село Мар'їнка,"сквер Косовська, буд. 67 кв. 8, Люботин, 02907",+380 58 811 21 29,stepanisaievych@example.com
Шинкаренко,Орест,Володимирович,Чоловік,1942-12-22,Математик,селище Вилкове,"проспект 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 671 кв. 6, Брянка, 53015",658-27-84,petliuratymofii@example.com
Хмара,Віолетта,Володимирівна,Жінка,1988-02-23,Педагог,хутір Зимогір'я,"шосе Ватманський, буд. 643, Буськ, 95630",+380 87 074-09-44,herman78@example.net
Пилипенко,Валентина,Павлівна,Жінка,1986-09-25,Редактор,село Миронівка,"проспект Промисловий, буд. 0, Біла Церква, 75873",+380 56 383-76-36,panteleimon97@example.net
Ткаченко,Августин,Миколайович,Чоловік,1947-03-05,Кінорежисер,хутір Путивль,"провулок Макова, буд. 51, Ямпіль, 13577",670-50-79,halynababenko@example.net
Верхола,Лукʼян,Олегович,Чоловік,1961-03-10,Журналіст,село Білицьке,"парк Поліська, буд. 47, Біляївка, 31580",076 930 50 93,danylenkoboleslav@example.net
Шиян,Прохір,Георгійович,Чоловік,1983-04-09,Кінокритик,селище Хмельницький,"набережна Куликовський 2-й, буд. 882, Перемишляни, 24857",+380 67 294-08-45,chubaiavrelii@example.com
Вдовиченко,Пармен,Андрійович,Чоловік,1942-05-19,Астрофізик,село Вознесенівка,"шосе Літакова, буд. 75 кв. 87, Жовті Води, 68149",+380 (22) 234-75-68,dnosachenko@example.org
Зінченко,Климент,Федорович,Чоловік,1989-10-11,Льотчик,хутір Жидачів,"набережна Юхима Геллера, буд. 34, Миргород, 72576",014 035-36-15,lesandriienko@example.org
Дейнека,Святослава,Григорівна,Жінка,1973-04-21,Гицель,село Отаманівка,"проспект Пироговський, буд. 831, Бережани, 31071",085 013 95 11,boryslav75@example.org
Вдовиченко,Демид,Сергійович,Чоловік,1939-01-14,Піаніст,хутір Олександрівськ,"вулиця Лігінська, буд. 13 кв. 3, Суми, 20597",706 52 63,zakhar70@example.com
Проценко,Владислав,Юрійович,Чоловік,1991-09-15,Машиніст,село Богодухів,"вулиця Листяний, буд. 095, Херсон, 34125",+380 42 590-96-32,fnikoliuk@example.com
Черінько,Віолетта,Павлівна,Жінка,1978-03-17,Модель,хутір Тараща,"шосе Сумський, буд. 0, Вишневе, 82900",098 719-20-33,bpavlyk@example.net
Єрченко,Спас,Олегович,Чоловік,1977-01-04,Реставратор,місто Макіївка,"сквер Учительський, буд. 71, Кипуче, 17231",+380 70 608 39 33,uchornovil@example.net
Ребрик,Демʼян,Іванович,Чоловік,1974-11-17,Стоматолог,село Дніпро,"парк Володимира Хавкіна, буд. 201, Новгород-Сіверський, 73018",+380 (39) 725-88-34,sofiiaveres@example.net
Негода,Лукʼян,Дмитрович,Чоловік,2007-04-04,Доцент,селище Запоріжжя,"проспект Вершинна, буд. 8, Турка, 51132",+380 09 114-41-60,deinekoleopold@example.org
Твердохліб,Августин,Олександрович,Чоловік,1980-02-03,Стиліст,місто Хоростків,"вулиця Радіо, буд. 71, Вараш, 24795",098 190 10 10,alberttarasenko@example.net
Єрмоленко,Ольга,Тимофіївна,Жінка,1962-09-05,Гірник,селище Українка,"площа Фруктовий, буд. 233 кв. 4, Охтирка, 67009",045 951-89-71,iustyna27@example.com
Семенченко,Віталій,Петрович,Чоловік,1952-07-12,Акушер,місто Кременчук,"площа Лінійний, буд. 07 кв. 99, Баштанка, 77639",+380 32 489-93-47,liudmyla35@example.org
Христич,Давид,Олександрович,Чоловік,1958-12-02,Кіноактор,місто Гребінка,"узвіз Український 2-й, буд. 6 кв. 076, Шахтарськ, 21793",+380 76 136-48-32,boryslavkorsun@example.net
Дахно,Михайло,Васильович,Чоловік,2004-06-15,Шериф,село Кальміуське,"провулок Володимира Терещенка, буд. 279, Боково-Хрустальне, 46059",060 419 10 02,kanivetssolomiia@example.net
Саєнко,Дан,Григорович,Чоловік,1993-08-27,Редактор,хутір Бережани,"сквер Польський узвіз, буд. 113, Вінниця, 98853",+380 73 534 89 22,iaremchukveniiamyn@example.org
Корпанюк,Богдан,Андрійович,Чоловік,1968-10-04,Фотограф,місто Вознесенськ,"узвіз Могилівська, буд. 7, Тульчин, 46041",019 876-13-21,izhakbohodar@example.net
Фесенко,Амалія,Ігорівна,Жінка,1997-04-02,Фізик,селище Бучач,"шосе Хімічний 1-й, буд. 080, Кіцмань, 28507",024 967-97-99,mykyta48@example.net
Терещенко,Єлисавета,Георгіївна,Жінка,1955-04-21,Музичний редактор,місто Дніпро,"сквер Дукова, буд. 5, Єнакієве, 42175",193-95-39,bsirko@example.org
Чередник,Валерій,Олександрович,Чоловік,1961-08-23,Золотар,хутір Марганець,"шосе Лінія 27-ма, буд. 297, Рахів, 61872",015 865-12-75,stusliza@example.org
Колодуб,Богданна,Андріївна,Жінка,1986-08-22,Модель,селище Камінь-Каширський,"проспект Ананьївська, буд. 97, Родинське, 07866",676-91-89,lysenkozorian@example.org
Цюпа,Варвара,Петрівна,Жінка,2003-09-21,Ді-джей,селище Підгородне,"набережна Нерубайська, буд. 22, Сіверськодонецьк, 18752",+380 (26) 541-37-45,olehbandurka@example.net
Гоголь,Ольга,Миколаївна,Жінка,1963-02-12,Мінералог,село Конотоп,"вулиця Фахова, буд. 5, Жданівка, 09819",006 143 82 01,dan04@example.com
Василенко,Віолетта,Георгіївна,Жінка,1957-07-20,Лікар,селище Сарни,"проспект Весняна, буд. 79 кв. 08, Комарно, 98950",062 103 64 28,wostapchuk@example.net
Цимбалюк,Миколай,Сергійович,Чоловік,1995-03-09,Мірошник,селище Мала Виска,"вулиця Бузковий 1-й, буд. 77 кв. 76, Тростянець, 90950",+380 94 167 37 96,albertiarema@example.net
Петлюра,Артем,Романович,Чоловік,1949-05-22,Публіцист,село Красноперекопськ,"провулок Сім'ї Глодан, буд. 47, Сарни, 54637",164 20 68,riaboshapkaada@example.com
Романенко,Назар,Георгійович,Чоловік,1955-12-25,Няня,хутір Курахове,"вулиця Миколи Огренича, буд. 398 кв. 4, Токмак, 24295",292-80-94,anzhela55@example.org
Титаренко,Валерій,Дмитрович,Чоловік,1984-08-14,Швачка,хутір Кодима,"парк Санаторний, буд. 9, Володимир-Волинський, 95891",+380 40 036-20-16,zakharenkoleon@example.net
Непорожній,Соломон,Олегович,Чоловік,1966-02-25,Палеонтолог,хутір Вугледар,"узвіз Семінарська, буд. 8, Харків, 96919",846-72-95,rderehus@example.org
Мірошниченко,Розалія,Олегівна,Жінка,2002-10-06,Петрограф,хутір Васильків,"сквер Рабіна Іцхака, буд. 83, Жашків, 19489",012 645 87 85,vasyl75@example.com
Андрусенко,Ада,Ігорівна,Жінка,1973-07-07,Візажист,хутір Стрий,"провулок Чорноморський 5-й, буд. 8, Дергачі, 57282",592-43-21,orest22@example.net
Авраменко,Богуслав,Максимович,Чоловік,1969-02-06,Дипломат,місто Алмазна,"парк Дачна, буд. 583, Авдіївка, 69750",+380 96 597-12-99,heorhiitelychenko@example.net
Гавриш,Єва,Сергіївна,Жінка,1979-08-07,Зоолог,село Іршава,"набережна Поштовий, буд. 3 кв. 04, Почаїв, 56833",+380 91 848 03 25,zorian89@example.org
Данилюк,Ярослава,Олександрівна,Жінка,1954-02-08,Кінорежисер,місто Балта,"парк Балтський 6-й, буд. 5, Нетішин, 12319",106-73-96,vasylynakovalenko@example.org
Рудик,Ірина,Георгіївна,Жінка,1995-03-14,Антрополог,село Болград,"площа Осіння, буд. 415, Копичинці, 47710",+380 57 684-35-19,tdzyndra@example.org
Андрійчук,Любов,Сергіївна,Жінка,1952-07-11,Золотар,селище Радехів,"площа Середньофонтанська, буд. 31, Світловодськ, 32757",+380 06 593-89-76,wkyrylenko@example.com
Яременко,Адам,Максимович,Чоловік,1991-04-28,Петрограф,селище Корець,"проспект Лиманчик 2-й Лінія 1-ша, буд. 0, Гола Пристань, 77461",+380 47 936-19-81,ntryhub@example.org
Данькевич,Анастасія,Богданівна,Жінка,1995-03-04,Круп'є,хутір Почаїв,"площа Офіцерська, буд. 2, Шпола, 77877",+380 69 872-08-66,shapovalalevtyn@example.net
Карась,Леонід,Васильович,Чоловік,2006-03-18,Кушнір,хутір Авдіївка,"провулок Шота Руставелі, буд. 94, Вишгород, 63360",+380 (07) 493-80-45,isaienkosviatoslava@example.org
Перебийніс,Михайлина,Ігорівна,Жінка,1962-03-05,Пекар,хутір Попасна,"узвіз Академіка Богатського, буд. 8 кв. 8, Снігурівка, 50663",+380 (52) 394-20-41,konopliaihnat@example.org
Журавель,Людмила,Дмитрівна,Жінка,1984-07-02,Швачка,хутір Батурин,"проспект Луїджі Іоріні, буд. 13 кв. 4, Іловайськ, 68933",+380 46 162 05 74,boleslavazhazha@example.net
Москаль,Дмитро,Федорович,Чоловік,1964-10-26,Адвокат,місто Судак,"вулиця Кільовий, буд. 23 кв. 81, Вижниця, 25212",+380 18 033-61-41,opanasbabenko@example.com
Шовкопляс,Федір,Сергійович,Чоловік,1967-12-12,Гицель,селище Прип'ять,"шосе Любашівський, буд. 06, Івано-Франківськ, 80652",+380 61 923-57-44,jshakhrai@example.net
Баран,Демʼян,Миколайович,Чоловік,1952-12-06,Стиліст,місто Нововолинськ,"вулиця Панаса Саксаганського, буд. 636 кв. 9, Радивилів, 55692",+380 27 478-33-73,cherednykmykhailyna@example.org
Черінько,Ірена,Миколаївна,Жінка,1964-11-20,Промисловець,село Скалат,"шосе 8-ма Лінія Дачі Ковалевського, буд. 83, Кам'янка (Черкаська область), 78920",077 957 58 79,alevtyn50@example.org
Дергач,Демид,Максимович,Чоловік,1991-01-19,Письменник,селище Львів,"узвіз Басейний 2-й, буд. 4, Жидачів, 89967",+380 59 298-61-50,ivan78@example.org
Бабариченко,Ольга,Володимирівна,Жінка,1988-05-23,Євнух,селище Старий Крим,"вулиця Азербайджан, буд. 619 кв. 5, Вуглегірськ, 29449",209-29-71,ruslanchumachenko@example.com
Черінько,Тарас,Олегович,Чоловік,1962-06-25,Громадський діяч,село Новий Буг,"узвіз Пісочна, буд. 26, Ковель, 78939",456 74 42,hlib34@example.com
Коваленко,Аркадій,Миколайович,Чоловік,1991-07-15,Стоматолог,хутір Конотоп,"сквер Пассіонарії, буд. 74 кв. 55, Жмеринка, 39520",616 11 27,lemeshkoleontii@example.net
Артимишин,Вікторія,Максимівна,Жінка,1947-12-14,Мовознавець,місто Євпаторія,"набережна Кінна, буд. 922, Олександрія, 66749",068 140-06-57,omelianvenhrynovych@example.net
Артим,Златослава,Миколаївна,Жінка,1977-09-28,Співак,місто Токмак,"узвіз Миколи Пильчикова, буд. 539 кв. 94, Дружківка, 64297",+380 40 304-47-72,ekharchenko@example.net
Ільченко,Герман,Іванович,Чоловік,1974-01-06,Швачка,селище Костянтинівка,"провулок 411-ї батареї, буд. 846 кв. 1, Самбір, 27431",206 67 99,geregaorest@example.net
Юрчишин,Леопольд,Володимирович,Чоловік,1965-08-25,Вчитель,селище Моспине,"шосе Церковна, буд. 599, Гребінка, 52816",+380 51 878-00-09,okhrim33@example.com
Зарудний,Пилип,Федорович,Чоловік,1946-09-07,Бізнесмен,селище Полтава,"шосе Шампанський, буд. 0, Жашків, 51164",046 685 49 55,havrylo67@example.net
